code,industry,name
03968,Banks—Regional,CM BANK
03969,Railroads,CHINA CRSC
03978,Education & Training Services,BESTSTUDY EDU
03983,Agricultural Inputs,CHINA BLUECHEM
03986,Semiconductors,GIGADEVICE
03988,Banks—Diversified,BANK OF CHINA
03989,Waste Management,CAPITAL ENV
03990,Real Estate—Development,MIDEA REAL EST
03991,Electronics & Computer Distribution,CHANGHONG JH
03993,Other Industrial Metals & Mining,CMOC
03996,Engineering & Construction,CH ENERGY ENG
03997,Personal Services,TSO
03998,Apparel Manufacturing,BOSIDENG
03999,Packaged Foods,DACHAN FOOD
04621,,CINDA 21USDPREF
06030,Capital Markets,CITIC SEC
06031,Farm & Heavy Construction Machinery,SANY HEAVY IND
06033,Specialty Retail,TELECOM DIGIT
06036,Electronics & Computer Distribution,APEX ACE HLDG
06038,Engineering & Construction,G & M HLDGS
06049,Real Estate Services,POLY PPT SER
06051,Software—Application,YOUZAN
06055,Tobacco,CTIHK
06058,Financial Conglomerates,CISI FIN
06060,Insurance—Property & Casualty,ZA ONLINE
06063,Engineering & Construction,LOTUS HORIZON
06066,Capital Markets,CSC
06067,Specialty Chemicals,SENIOR MATERIAL
06068,Education & Training Services,WISDOM EDU INTL
06069,Credit Services,SY HOLDINGS
06078,Medical Care Facilities,HYGEIA HEALTH
06080,Engineering & Construction,WING CHI HLDGS
06082,Semiconductors,BIREN TECH
06083,Integrated Freight & Logistics,WORLD-LINK LOG
06086,Pharmaceutical Retailers,FANGZHOU JIANKE
06088,Electronic Components,FIT HON TENG
06090,Household & Personal Products,BUTONG GROUP
06093,Real Estate Services,HEVOL SERVICES
06098,Real Estate Services,CG SERVICES
06099,Capital Markets,CMSC
06100,Staffing & Employment Services,TONGDAO LIEPIN
06106,Computer Hardware,SEER TECH
06108,Pharmaceutical Retailers,NEW RAY MEDIC
06110,Apparel Retail,TOPSPORTS
06113,Advertising Agencies,BITSTRAT HLDGS
06117,Marine Shipping,RIZHAO PORT JR
06118,Medical Devices,AUSTAR
06119,,TIAN YUAN GP
06123,Integrated Freight & Logistics,YTO INTL EXP
06127,Diagnostics & Research,JOINN
06128,Other Industrial Metals & Mining,GRAPHEX GROUP
06132,Biotechnology,HJ SCIENCE-B
06133,,VITAL INNO
06136,Utilities—Regulated Water,KANGDA ENV
06138,Banks—Regional,HARBIN BANK
06158,Real Estate—Development,ZHENRO PPT
06160,Biotechnology,BEONE MEDICINES
06162,Auto Parts,TR INTERIORS
06163,Auto Parts,GEMILANG INTL
06166,Communication Equipment,CIG
06168,Luxury Goods,ZHOU LIU FU
06169,Education & Training Services,YUHUA EDU
06178,Capital Markets,EB SECURITIES
06181,Luxury Goods,LAOPU GOLD
06182,Engineering & Construction,TWINTEK
06185,Drug Manufacturers—Specialty & Generic,CANSINOBIO
06186,Packaged Foods,CHINA FEIHE
06188,Specialty Retail,BJ DIGITAL
06189,,ADWAY
06190,Banks—Regional,BANKOFJIUJIANG
06193,Building Materials,TAILAM TECHCON
06196,Banks—Regional,BANKOFZHENGZHOU
06198,Marine Shipping,QINGDAO PORT
06199,Banks—Regional,BANK OF GUIZHOU
06600,Computer Hardware,ONEROBOTICS
06601,Household & Personal Products,CHEERWIN GP
06603,Beverages—Non-Alcoholic,IFBH
06608,Software—Infrastructure,BAIRONG AI-W
06609,Medical Devices,HEARTCARE-B
06610,Software—Application,FLOWING CLOUD
06611,,SANXUN GROUP
06613,Electronic Components,LENS
06616,Specialty Chemicals,GLOBAL NEW MAT
06618,Pharmaceutical Retailers,JD HEALTH
06622,Biotechnology,ZHAOKE OPHTH-B
06623,,LUFAX
